"no_of_taxa","individuals_per_taxa","effective_population_size","species_birth_rate","tree_wide_sub_rate","no_of_sites","exponential_growth_rate","ado","amplification_error","sequencing_errors","concat_seq_score","ASTRAL_score","hap_FastRFS_score","vcf_merge_seq_score","vcf_FastRFS_score"
6,6,53808,3.50544401663472e-05,3.54503681708721e-07,74018,0.000154877406342898,0.100137562365271,0.0660107421618211,0.0313416537060984,-1,-1,-1,-1,-1
9,7,46032,6.35108235841966e-05,1.62027730042018e-06,90365,5.90282724859193e-05,0.1312444181873,0.0872286500454508,0.0282570839548134,-1,-1,-1,-1,-1
11,7,28572,6.26565379068954e-05,1.98942470632191e-06,91690,7.47572946886532e-05,0.192922109548701,0.0720826125921623,0.0231756849557278,-1,-1,-1,-1,-1
7,5,82539,5.00306173585355e-05,5.26720940352163e-06,57212,0.000804767414098652,0.159311763506383,0.0149003832120576,0.0244726075178478,-1,-1,-1,-1,-1
8,6,99110,9.10025604102178e-05,5.47105384548562e-06,12871,2.40864331240999e-05,0.0728114298584405,0.0838003400618164,0.0112503643935779,-1,-1,-1,-1,-1
11,7,28916,8.76611310766544e-05,1.04404741574824e-07,22017,0.000713473063364928,0.0252997878622264,0.0013326463570341,0.0480184217059286,-1,-1,-1,-1,-1
7,5,31814,1.46055333641008e-05,7.41168060762967e-06,29874,0.000809856639044324,0.15485365954251,0.089518662912955,0.0223422232852899,-1,-1,-1,-1,-1
8,6,47559,5.56994030448142e-05,5.19387074850646e-06,35146,0.000864836951629433,0.161004935767269,0.00383651356018498,0.0220243966030539,-1,-1,-1,-1,-1
6,5,11538,4.14206576031051e-05,7.64095914023651e-06,44495,0.000440819679658988,0.0694415605822578,0.0114244966365746,0.0438211516903248,-1,-1,-1,-1,-1
12,7,46460,4.0035876573401e-05,3.64590670468517e-06,31431,0.000585125025840756,0.0917253968995065,0.0645436660961714,0.0483412121569854,-1,-1,-1,-1,-1
10,6,44405,9.37897722092923e-05,5.44380386320488e-06,52831,0.000193333078711445,0.0711148665042128,0.0346281201614975,0.0271513872054056,-1,-1,-1,-1,-1
10,5,44982,5.62656512470916e-05,5.19144189351052e-07,18455,0.000896158080199407,0.191064008240821,0.0207781013696699,0.0075565569846076,-1,-1,-1,-1,-1
9,4,13514,1.64583853690536e-05,4.08090311619758e-06,85069,0.000449096347845101,0.173776282977778,0.0483623604181886,0.011645422510046,-1,-1,-1,-1,-1
11,7,42406,9.29048215933144e-05,9.48484368524945e-06,60688,0.000626815107209131,0.13453880940564,0.0130205786285037,0.0197163368668989,-1,-1,-1,-1,-1
8,6,97181,4.89397697330336e-05,5.90836790135782e-06,11657,0.000778564297459461,0.0880024389547762,0.0241040572468576,0.020782562703127,-1,-1,-1,-1,-1
10,6,78525,3.6241227419849e-05,7.10094753198532e-06,65283,0.000540883523638756,0.127269387895474,0.0368236725661415,0.0399577551576076,-1,-1,-1,-1,-1
11,8,80343,4.23433023625752e-05,4.18657103046601e-06,32844,0.000176710549411178,0.0703528416710906,0.0553156907192804,0.0493354144716286,-1,-1,-1,-1,-1
10,5,42056,1.62072741350159e-05,4.99189293890481e-06,83013,0.000453976793605799,0.165996708991239,0.0437225881864794,0.040090131743229,-1,-1,-1,-1,-1
7,4,83054,1.39646205499186e-05,6.53441579700068e-06,98909,0.000904709437026165,0.0619217470514122,0.0960147035138565,0.0355693820691668,-1,-1,-1,-1,-1
6,5,85553,7.92534726154059e-05,4.01355869336714e-06,49838,0.000304566995064076,0.17793281462742,0.081365089079655,0.0140342827954446,-1,-1,-1,-1,-1
12,5,84159,9.84002697306103e-05,2.78429707688111e-06,25631,0.000694670968901052,0.194922829841264,0.0426641762775753,0.0309132780383807,-1,-1,-1,-1,-1
12,5,25911,4.45890843896195e-05,1.9279185003791e-06,91163,0.000314646925674868,0.045273457958363,0.0753441274767637,0.0190038815579028,-1,-1,-1,-1,-1
12,8,58864,1.94765921850223e-05,4.82304191868166e-06,80078,0.000268959472184384,0.0198693124135025,0.0446219306298951,0.00860135878267465,-1,-1,-1,-1,-1
10,6,70114,1.43487953461008e-05,8.80424786393431e-06,33055,0.000630031420937611,0.0787836074142251,0.0421818997756264,0.000225840244966093,-1,-1,-1,-1,-1
8,7,94477,2.00330004742835e-05,3.81843326813647e-06,61927,0.000134349019315722,0.197141029465711,0.0852097650139907,0.0218348125517368,-1,-1,-1,-1,-1
10,6,73062,4.63416932310443e-05,8.64002499060794e-06,92253,0.000743448679609213,0.153542735566851,0.0563246942528174,0.0248700443913112,-1,-1,-1,-1,-1
10,8,48972,8.1629967302247e-05,1.71863871289514e-06,93663,0.000426882769264677,0.120102079862496,0.0857416670770629,0.00785030131461099,-1,-1,-1,-1,-1
8,7,67168,3.85155820319313e-05,9.05329991835305e-06,23785,0.000399520410361048,0.188716615991434,0.0623122416227323,0.0322932372072828,-1,-1,-1,-1,-1
11,5,78354,7.78021710026427e-05,9.30893924985449e-06,90767,4.79962870663847e-05,0.0640441386024468,0.0463869933184329,0.0333495592742693,-1,-1,-1,-1,-1
11,4,88966,8.61420915437164e-05,3.09213067287734e-06,87684,0.000976533536388946,0.0867973515547346,0.0595783732116176,0.0312073860642849,-1,-1,-1,-1,-1
9,6,59669,1.68454132136772e-05,2.01353676622596e-06,80238,0.000817306690264226,0.144064055130817,0.0723619090003439,0.0291906448561349,-1,-1,-1,-1,-1
7,4,72984,8.67274764142232e-05,9.18311825076585e-06,45237,0.000614768836153473,0.0522061069419142,0.0457252046197583,0.0157775487307226,-1,-1,-1,-1,-1
9,5,87164,2.7292729208013e-05,8.88586034937668e-06,88749,0.000186881657381263,0.0449650669274852,0.00558123777496046,0.0379979921322083,-1,-1,-1,-1,-1
10,7,57962,5.52838576754555e-05,7.47845188894536e-06,69302,0.000466001864217059,0.142892690052511,0.0809226735554857,0.00192894332908327,-1,-1,-1,-1,-1
12,7,37477,3.2755607021926e-05,3.42811342912891e-06,55733,0.000236248839890002,0.175749485110631,0.0315755698531715,0.0390330548767233,-1,-1,-1,-1,-1
8,6,87839,6.95073431712226e-05,4.3707018148608e-08,26454,0.000560355356686772,0.160321429161821,0.0537104502284667,0.0118445857707993,-1,-1,-1,-1,-1
7,5,74378,8.29078173324349e-05,3.5036917128249e-06,28587,0.000138775315039,0.141276768855518,0.0637848354542523,0.00539001750439638,-1,-1,-1,-1,-1
9,7,33145,6.0790215698129e-05,1.0260719423027e-06,41064,0.000755372221772245,0.176886054358212,0.0220691497148806,0.0072087351664668,-1,-1,-1,-1,-1
9,6,95153,5.75569669493125e-05,9.83306844527867e-06,66114,0.00092695881831412,0.11188483846141,0.0254968968201056,0.0346017155148438,-1,-1,-1,-1,-1
9,5,20668,5.86739891558187e-05,4.23161684031098e-06,63394,0.000725544675973163,0.00494729144498706,0.0579352980806574,0.0458973770518787,-1,-1,-1,-1,-1
12,6,64465,7.82848059887416e-05,6.30713400202922e-06,58885,0.00037941096925413,0.101479821539251,0.0945324658202124,0.0465188664040179,-1,-1,-1,-1,-1
8,6,45428,1.52438404682791e-05,8.07281023083122e-06,79372,0.000891095682755765,0.183746948233806,0.0543924659728468,0.0489105902378797,-1,-1,-1,-1,-1
12,4,32347,3.22868348517572e-05,9.02503437580488e-06,61083,0.00027886970046513,0.107521498578601,0.0834189492849435,0.00386597155203344,-1,-1,-1,-1,-1
10,6,58530,5.20748882336076e-05,5.23511569243344e-06,40373,0.000740290127280471,0.0034278184203431,0.0288097717862367,0.046974160618207,-1,-1,-1,-1,-1
7,6,27602,1.93459116336773e-05,2.8607781730392e-07,13760,6.60257402694668e-05,0.149264719661092,0.0748643941307277,0.0319994939538883,-1,-1,-1,-1,-1
7,7,59422,9.06428227988654e-05,4.45757851813748e-06,15777,0.000532330120512517,0.130064551162301,0.0827733845649601,0.0143852886853856,-1,-1,-1,-1,-1
10,5,64024,5.16670226738555e-05,6.71707266462508e-06,22845,0.000734600611003453,0.170793675591471,0.0514485805710242,0.020227004524495,-1,-1,-1,-1,-1
11,4,60113,8.06010483907885e-05,4.11153805218804e-06,18588,0.000250297480172443,0.0623841154174879,0.0016456913981901,0.0280541468703304,-1,-1,-1,-1,-1
8,4,79411,9.67160093297949e-05,1.84218884727745e-06,29231,0.000663840565770573,0.0678398086410016,0.0691597231108206,0.00641778753476683,-1,-1,-1,-1,-1
6,7,24607,6.35819577623741e-05,4.93971260149482e-06,42484,0.000371773476781382,0.179947173193097,0.0164887126101973,0.0156861174661317,-1,-1,-1,-1,-1
11,5,22370,2.42852552373777e-05,4.36349802374056e-06,77483,0.00063808048210562,0.189847642316716,0.0394396977583482,0.0288954744808725,-1,-1,-1,-1,-1
11,8,39447,6.55511192814447e-05,5.90663494196558e-07,95645,0.000995545855286298,0.103720250325743,0.0378487294510892,0.0257947251238511,-1,-1,-1,-1,-1
6,4,51839,3.88425612706458e-05,1.80279631713644e-06,41717,0.000181928372151311,0.0356638266195077,0.097594333975187,0.041648562844377,-1,-1,-1,-1,-1
9,4,25631,9.21885216398398e-05,7.87064343416906e-06,21601,0.000921434626859229,0.106553991745925,0.0765177498181746,0.00933013321092585,-1,-1,-1,-1,-1
9,7,65168,3.09550084279967e-05,6.75435359448082e-06,21179,0.000352888403201418,0.151017766162055,0.0454290458334971,0.0352590023740777,-1,-1,-1,-1,-1
8,5,82052,7.11570764226373e-05,8.76855063842696e-06,14757,0.000793959325086733,0.00522357368213125,0.0479531884049787,0.045738891746325,-1,-1,-1,-1,-1
10,6,40729,1.04688477537711e-05,7.19893875363194e-06,17464,0.00085756144874465,0.085241670352174,0.0783350539510394,0.00819443921936909,-1,-1,-1,-1,-1
7,8,35166,9.92744007588248e-05,9.92987163472825e-06,73810,0.000393763289884129,0.180783196624368,0.0693931265877956,0.044755551817012,-1,-1,-1,-1,-1
11,7,17002,2.22023838244262e-05,7.21202302631693e-06,46533,0.000947597313715785,0.0470054964509327,0.0910703152657871,0.0369356358596706,-1,-1,-1,-1,-1
9,5,66949,9.04204082890996e-05,6.61937628394297e-06,31893,0.000643134902776161,0.184726300433744,0.00699831002480583,0.012044513001747,-1,-1,-1,-1,-1
10,8,50924,1.27691647223081e-05,5.86915044120585e-06,41997,0.000831635709529359,0.0921970506764483,0.00226047972052125,0.0269457212280831,-1,-1,-1,-1,-1
10,7,55687,5.04064259500126e-05,4.56981576735851e-06,39738,0.000731382486238855,0.0828166753586847,0.0878990061082412,0.0444719053353183,-1,-1,-1,-1,-1
6,5,45767,9.71945061194827e-05,8.4005332373945e-06,66828,0.000565337633575231,0.00905568800028414,0.0708036690864107,0.0293101194753544,-1,-1,-1,-1,-1
6,7,36808,7.03263389402768e-05,1.5668241201147e-06,51085,0.000492392546701373,0.0662513893684372,0.0587852107155614,0.0273320941957645,-1,-1,-1,-1,-1
11,4,84575,1.10474089017138e-05,6.05959324373633e-06,38802,2.94647773956764e-05,0.174880622707307,0.0823204665492778,0.00664025653665885,-1,-1,-1,-1,-1
8,6,56212,8.45904692614335e-05,2.92658856997601e-06,82102,0.00047956094790739,0.193489368660841,0.0262892454935459,0.00306078775704373,-1,-1,-1,-1,-1
7,4,20259,6.47858059757738e-05,8.68812760983161e-06,83733,0.000277181164357543,0.0102387256948277,0.0184870292727009,0.0255422682986245,-1,-1,-1,-1,-1
10,5,93163,1.34920333846007e-05,9.96613489718972e-06,33620,0.000853981554488395,0.0650348573862575,0.0134771752680966,0.000956791641481686,-1,-1,-1,-1,-1
11,6,97827,9.15685689339647e-05,8.84834797754011e-07,71792,0.000345129335079575,0.0552331417840905,0.00255563915986568,0.0123481834738632,-1,-1,-1,-1,-1
6,6,10491,1.1560849511181e-05,2.61391967994822e-06,52301,0.000844523199913476,0.172139716951177,0.0208876933679834,0.0393927374064224,-1,-1,-1,-1,-1
11,8,66657,4.32294144535321e-05,5.01755601670994e-06,51442,3.8879179440334e-05,0.118022416348336,0.0989087644709158,0.0405908076512278,-1,-1,-1,-1,-1
7,6,76468,8.09887485275394e-05,6.38088790632563e-06,33927,0.000849977612302848,0.0144040722099599,0.0340503752344009,0.0428918223766377,-1,-1,-1,-1,-1
12,6,60828,2.62481663846644e-05,7.71336273619183e-06,32476,0.00056967942618049,0.181355280524585,0.0770362246528757,0.0461043284789193,-1,-1,-1,-1,-1
8,5,55140,9.81286243141512e-05,2.87526088570968e-06,68829,0.000263936862999643,0.110410513740964,0.0329831066883239,0.000311456620809622,-1,-1,-1,-1,-1
7,7,35557,7.52328750586254e-05,7.17252722028853e-07,46440,0.00011271636918803,0.0751543545625173,0.0921785974190012,0.0397180871632299,-1,-1,-1,-1,-1
8,6,72406,7.22553831306985e-05,1.1231048237906e-06,99503,0.000230351291654352,0.0299359243770596,0.0406610326587129,0.0414999377517379,-1,-1,-1,-1,-1
12,5,24064,1.82274557639263e-05,5.66296378245826e-06,29371,7.98490907472908e-05,0.00615238447231241,0.0624888341594138,0.000539857990166638,-1,-1,-1,-1,-1
10,4,86338,8.11710961529403e-05,2.73300432666639e-06,86842,3.342259617073e-05,0.0599488729364239,0.00461113419595058,0.0491491386233829,-1,-1,-1,-1,-1
10,4,83605,9.27131859860383e-05,8.59432911843041e-06,96185,0.00088560565650597,0.0548574696427677,0.0372009209341102,0.0479077896625386,-1,-1,-1,-1,-1
9,8,93275,3.00362938915845e-05,8.90278541745308e-06,38152,0.000366484108438087,0.113209620247129,0.0887121314120351,0.0496816459967522,-1,-1,-1,-1,-1
9,8,63174,3.05561639194028e-05,6.24304086187609e-06,10114,9.48471152141923e-05,0.163289280297002,0.0613262735141791,0.0236241534529254,-1,-1,-1,-1,-1
11,6,32926,3.81974910723046e-05,2.20397092054879e-06,89857,0.000331062860639987,0.157611882150639,0.0121306454440078,0.00878812259278493,-1,-1,-1,-1,-1
12,6,41940,2.4676291071414e-05,8.96606081300982e-06,12477,0.000962785428598896,0.18235446814727,0.0591534992514981,0.0321821372463019,-1,-1,-1,-1,-1
9,7,81602,1.21122315326938e-05,8.47113696485193e-06,99871,0.000300854920703929,0.0283460895211902,0.016967341952381,0.0264836512375041,-1,-1,-1,-1,-1
7,6,72000,6.70987087170477e-05,1.40594770078011e-06,62244,0.000774031943358062,0.137572052806383,0.0652126254136837,0.0177453552095685,-1,-1,-1,-1,-1
9,7,94615,3.45787766921101e-05,3.5486496780702e-06,35300,0.000521315227432526,0.0176784175336361,0.0867102638602199,0.0170503840839374,-1,-1,-1,-1,-1
11,6,14332,2.09433169434429e-05,9.23049036314508e-06,24946,0.000188501155884808,0.0462114958732855,0.0505532497734588,0.0463184185419232,-1,-1,-1,-1,-1
7,5,56551,1.77192795847659e-05,2.38464228032533e-06,49275,0.000603826363894017,0.0387536721786018,0.0850797914397065,0.0166883571331855,-1,-1,-1,-1,-1
6,8,61278,3.59923898348818e-05,5.53167481334313e-06,37484,0.000751466580747499,0.104290217379108,0.0269356732759392,0.00580092386639444,-1,-1,-1,-1,-1
11,6,69548,3.71652774565155e-05,8.01777386362607e-06,19362,0.000407067313332681,0.0330449219376314,0.0820737428078498,0.0339624629816972,-1,-1,-1,-1,-1
9,5,30225,7.1715985156619e-05,7.5589280645128e-06,69885,0.000703653508013312,0.0415529950661585,0.00655897252385388,0.0409691005009809,-1,-1,-1,-1,-1
8,7,78940,7.70829584314837e-05,9.37170348014198e-06,59994,0.000118483358609839,0.0505697282527108,0.0387706146216649,0.035227551694843,-1,-1,-1,-1,-1
10,5,20823,8.58223410996958e-05,2.15401931648449e-06,76450,0.0009574197921874,0.119448135231854,0.0930330309788801,0.0178940335402731,-1,-1,-1,-1,-1
8,7,30336,2.50808237577439e-05,5.73415051988112e-06,74603,0.000292477759574831,0.105738046293613,0.0761146379503258,0.00485595999477664,-1,-1,-1,-1,-1
10,5,63689,9.6047994287801e-05,2.28491505470189e-06,88983,0.000218882113819849,0.0981665377700701,0.00338889697263483,0.0434426736281603,-1,-1,-1,-1,-1
8,5,31141,3.78066377350362e-05,9.48663398645981e-07,44725,0.00050435372590262,0.0236296303099953,0.0932626801618305,0.0252733437690185,-1,-1,-1,-1,-1
7,8,74125,2.2131708851119e-05,2.98179862776049e-06,56461,0.000937835699845012,0.0363946096254513,0.0666205579965701,0.00834339795657434,-1,-1,-1,-1,-1
6,7,47963,8.71919168811641e-05,7.28310261783634e-06,34419,0.000988329071744764,0.108125085233944,0.0574716833686736,0.0332412199523533,-1,-1,-1,-1,-1
10,5,19648,4.84933841118356e-05,3.91002811548301e-06,58576,0.000967893840955582,0.139297275393736,0.00509106358791236,0.0198733282869798,-1,-1,-1,-1,-1
6,4,18398,7.8405335073825e-05,1.55819851772174e-06,64043,0.000589561043269793,0.0513179784112144,0.0973370999882626,0.0361953883667593,-1,-1,-1,-1,-1
12,8,73568,9.8977732743416e-05,5.59569658341592e-06,10883,0.000980505919598241,0.152262352092657,0.0262313703698316,0.0214174442454823,-1,-1,-1,-1,-1
9,5,91289,1.88169458676479e-05,8.2652492421278e-06,98305,0.000679745774554228,0.0569966648439877,0.00408298162634601,0.00325935958791524,-1,-1,-1,-1,-1
8,7,17883,9.43631342291832e-05,3.64659421708703e-07,58016,5.0833993922302e-05,0.1981743599521,0.0237239123057283,0.0440589801835013,-1,-1,-1,-1,-1
11,8,33993,8.81917108692927e-05,4.63813390563299e-06,42856,0.000869107159034687,0.0260482970159501,0.0415703448237933,0.0152054270273657,-1,-1,-1,-1,-1
8,4,68719,2.76620895728818e-05,9.78481867610726e-06,70942,0.000321687263566989,0.0215853275682312,0.0104665103287064,0.00105036777403438,-1,-1,-1,-1,-1
10,5,40283,2.95302369737532e-05,9.61062293655451e-06,95418,0.000225251207949873,0.116839677668642,0.0486514769723022,0.0485885397307575,-1,-1,-1,-1,-1
10,5,86505,4.51026843502768e-05,1.238461339055e-06,65667,0.000211821751765569,0.17119110359461,0.0175621305348526,0.0234954682232346,-1,-1,-1,-1,-1
11,6,81511,2.89545215042541e-05,7.9425331470311e-06,81861,0.000800041339541494,0.0437678168271668,0.0501671922809572,0.0238845196712646,-1,-1,-1,-1,-1
9,7,62024,5.0881819372531e-05,9.57394145592168e-06,69417,0.000214943463465874,0.00181600840971805,0.0471340199444222,0.0215741038002307,-1,-1,-1,-1,-1
9,7,62227,4.50510624003015e-05,3.65815826962852e-06,72806,0.000510933327631326,0.0490377732107881,0.0243458791615407,0.0358411949208239,-1,-1,-1,-1,-1
11,5,23727,4.02032993903966e-05,3.03098784326332e-06,79059,0.000546307547512779,0.16907103272737,0.0441676325455483,0.00970181649754522,-1,-1,-1,-1,-1
8,6,90313,5.28496240879991e-05,6.49241834661641e-06,39365,0.000788028192461166,0.10942501827213,0.0983685845142102,0.0306263018504833,-1,-1,-1,-1,-1
6,5,77896,7.53690697410493e-05,6.01895440224848e-06,54384,0.000498221447208093,0.133111492392607,0.0128486715888965,0.00748910212912597,-1,-1,-1,-1,-1
8,8,97719,8.21459364903974e-05,6.17469235286323e-06,37200,0.000433642141557182,0.135857476642588,0.0804021599376388,0.0296572436073329,-1,-1,-1,-1,-1
11,5,76769,4.19247718474478e-05,6.82632837955103e-06,97049,0.00043623794579563,0.0636520799740683,0.0225696547114977,0.012754483389901,-1,-1,-1,-1,-1
10,7,68180,6.78030791989178e-05,3.15287568692791e-06,50160,0.000418862145975616,0.117432657853002,0.0673252009427222,0.0366265349707683,-1,-1,-1,-1,-1
9,6,67686,5.24489015511354e-05,3.88811788674301e-06,68268,0.000108237041584577,0.195384686035803,0.0527531343082944,0.0300048266335507,-1,-1,-1,-1,-1
11,4,80778,2.56008049948723e-05,7.35445487314222e-06,67910,0.00032538048991122,0.0126305435190443,0.0639588350424822,0.037732437531813,-1,-1,-1,-1,-1
7,6,22617,5.71083202114562e-05,7.10294713366735e-06,84651,0.00058296117374372,0.166361381064169,0.0145030203412648,0.0452585764551768,-1,-1,-1,-1,-1
9,4,99902,8.55128028596169e-05,7.33047815170614e-06,24572,0.000161678153634362,0.138914175885497,0.0433394911931583,0.0247084055981832,-1,-1,-1,-1,-1
10,8,43323,6.87166066204314e-05,9.40071706026893e-06,94077,0.000463096702325065,0.0585916971028782,0.0655316774490126,0.0381799448655802,-1,-1,-1,-1,-1
8,7,74818,5.93332424795954e-05,2.59113936334208e-07,17770,0.000771213696543255,0.196257317821728,0.0677587899484218,0.0194890781465801,-1,-1,-1,-1,-1
9,5,50021,7.27571827783831e-05,2.56354964201298e-06,59731,0.000145796461565839,0.0739252637110185,0.0365302437005425,0.00130885894194944,-1,-1,-1,-1,-1
7,7,26279,8.85581624861923e-05,6.56095721016721e-06,94350,1.25000556513085e-05,0.0425654322106857,0.0156294369204517,0.0206279198665288,-1,-1,-1,-1,-1
7,6,16282,5.3992595155153e-05,3.96486086481817e-06,75212,0.00031117738898918,0.167293611961417,0.0353134527050832,0.0100225474371109,-1,-1,-1,-1,-1
8,5,14755,9.74228416340426e-05,8.50765932807716e-06,30359,7.38326901162742e-05,0.0248228325413074,0.0402679487204773,0.0203206323518534,-1,-1,-1,-1,-1
10,6,17219,8.88866270123981e-05,2.34085223286947e-06,47751,4.01430899486528e-05,0.178596683880314,0.0250269032112206,0.00922157668753061,-1,-1,-1,-1,-1
8,7,16682,3.968844009405e-05,5.80723879751578e-06,36937,9.3164901095361e-05,0.0770120881192852,0.0962140130191401,0.00168814718013164,-1,-1,-1,-1,-1
6,5,43140,2.04034528606338e-05,7.04723299795039e-06,24126,0.000388115676404559,0.168051107744686,0.0615533965838677,0.0326588187177549,-1,-1,-1,-1,-1
9,6,10328,7.01823271044763e-05,5.06354309133602e-06,89508,0.00071943615811303,0.11212758652796,0.0905553151958482,0.00245043177588377,-1,-1,-1,-1,-1
10,7,29656,6.73707886637305e-05,4.30739515526069e-07,43637,0.000814382142895169,0.158965197668877,0.0997483075698989,0.00470366225758335,-1,-1,-1,-1,-1
11,5,98644,8.39434380213963e-05,1.43672444188804e-06,23290,0.000401519092614204,0.0225456735466141,0.0188840733652154,0.0304712491692044,-1,-1,-1,-1,-1
11,7,28137,8.48372606361867e-05,6.91905515786994e-07,45758,0.000364536829336744,0.0891082612723112,0.0992196311613743,0.041155719984672,-1,-1,-1,-1,-1
6,6,95915,6.10407697126735e-05,1.6933148516888e-07,57569,0.0009455027979907,0.0340728226134088,0.0348218764691288,0.0315095981397899,-1,-1,-1,-1,-1
10,6,71422,4.28383630491677e-05,9.10720820213293e-06,92453,0.000258400012964918,0.0404496355808806,0.073908567291497,0.0188678424446262,-1,-1,-1,-1,-1
12,4,65846,5.42524638329516e-05,5.360987981189e-06,53849,0.000762537964188936,0.0480554141094908,0.0746304865307349,0.0168145449977019,-1,-1,-1,-1,-1
8,4,37409,7.45067346459488e-05,3.22809160847971e-06,51930,0.000120505531357334,0.00810450572567061,0.0683686336435273,0.00624659872829216,-1,-1,-1,-1,-1
8,6,57685,4.72825475788675e-05,2.83691730149569e-06,36428,0.000880984189797623,0.0805565600323025,0.0102809900233289,0.0266376907600788,-1,-1,-1,-1,-1
11,7,70759,7.9392032767192e-05,4.73732998042716e-06,55215,1.71274790460011e-05,0.0133951962084975,0.0524078087222204,0.0286065054270439,-1,-1,-1,-1,-1
7,6,31585,6.2380559664662e-05,6.28227527708282e-06,76911,0.000620670245246799,0.0830791543228552,0.0796283431213792,0.0278530019726022,-1,-1,-1,-1,-1
6,7,90963,3.68808690774487e-05,3.70738365478907e-06,63902,0.000132477229328745,0.0845121484289412,0.0608050377833354,0.0341699571824283,-1,-1,-1,-1,-1
11,4,86012,4.78033685429255e-05,1.35396433532747e-06,16143,0.000994142317783215,0.0319697821228765,0.0779720705883217,0.0374968882884132,-1,-1,-1,-1,-1
9,8,36116,6.63680817065062e-05,3.27749373501904e-06,17057,0.000485538754158292,0.129803938019555,0.0843350621745002,0.0148116636656923,-1,-1,-1,-1,-1
10,7,76019,7.33839188799146e-05,2.53802987698948e-06,27638,0.000953470085857972,0.000513255619211122,0.0200766764533939,0.0402986652588006,-1,-1,-1,-1,-1
8,6,18851,2.26932628816809e-05,3.39647045784059e-06,38800,0.000424693534241046,0.122952896086266,0.0554515398237261,0.0139838174218312,-1,-1,-1,-1,-1
8,6,65361,6.40723306202563e-05,2.07896920174871e-06,12133,0.00091686091078571,0.0165002372215968,0.0360587409353454,0.00259219600784127,-1,-1,-1,-1,-1
9,4,10936,7.1577798103774e-05,8.22021816357458e-06,50622,0.000163467185837054,0.0152718309515622,0.0491782255175954,0.00213087090855697,-1,-1,-1,-1,-1
9,6,23182,2.14038832483231e-05,5.97597008061808e-06,77565,0.000359092297528021,0.126048216758994,0.0308823556324129,0.0163478161310195,-1,-1,-1,-1,-1
